"year","month","day","start","end","length","city"
2016,6,"13","5:03 ↑ (54°)","20:50 ↑ (306°)","15:47:02","odesa"
2016,6,"14","5:03 ↑ (54°)","20:51 ↑ (306°)","15:47:36","odesa"
2016,6,"15","5:03 ↑ (54°)","20:51 ↑ (306°)","15:48:04","odesa"
2016,6,"16","5:03 ↑ (54°)","20:52 ↑ (306°)","15:48:28","odesa"
2016,6,"17","5:03 ↑ (54°)","20:52 ↑ (306°)","15:48:48","odesa"
2016,6,"18","5:03 ↑ (54°)","20:52 ↑ (306°)","15:49:02","odesa"
2016,6,"19","5:03 ↑ (54°)","20:53 ↑ (306°)","15:49:11","odesa"
2016,6,"20","5:04 ↑ (54°)","20:53 ↑ (306°)","15:49:16","odesa"
2016,6,"21","5:04 ↑ (54°)","20:53 ↑ (306°)","15:49:16","odesa"
2016,6,"22","5:04 ↑ (54°)","20:53 ↑ (306°)","15:49:12","odesa"
2016,6,"23","5:04 ↑ (54°)","20:53 ↑ (306°)","15:49:02","odesa"
2016,6,"24","5:05 ↑ (54°)","20:53 ↑ (306°)","15:48:48","odesa"
2016,6,"25","5:05 ↑ (54°)","20:53 ↑ (306°)","15:48:29","odesa"
2016,6,"26","5:05 ↑ (54°)","20:53 ↑ (306°)","15:48:05","odesa"
2016,6,"27","5:06 ↑ (54°)","20:53 ↑ (306°)","15:47:37","odesa"
2016,6,"28","5:06 ↑ (54°)","20:53 ↑ (306°)","15:47:04","odesa"
2016,6,"29","5:07 ↑ (54°)","20:53 ↑ (306°)","15:46:26","odesa"
2016,6,"30","5:07 ↑ (54°)","20:53 ↑ (306°)","15:45:44","odesa"
2016,7,"1","5:08 ↑ (54°)","20:53 ↑ (306°)","15:44:58","odesa"
2016,7,"2","5:08 ↑ (54°)","20:53 ↑ (306°)","15:44:06","odesa"
2016,7,"3","5:09 ↑ (54°)","20:52 ↑ (305°)","15:43:10","odesa"
2016,7,"4","5:10 ↑ (55°)","20:52 ↑ (305°)","15:42:10","odesa"
2016,7,"5","5:10 ↑ (55°)","20:52 ↑ (305°)","15:41:06","odesa"
2016,7,"6","5:11 ↑ (55°)","20:51 ↑ (305°)","15:39:57","odesa"
2016,7,"7","5:12 ↑ (55°)","20:51 ↑ (305°)","15:38:45","odesa"
2016,7,"8","5:13 ↑ (55°)","20:50 ↑ (305°)","15:37:28","odesa"
2016,7,"9","5:14 ↑ (55°)","20:50 ↑ (304°)","15:36:06","odesa"
2016,7,"10","5:14 ↑ (56°)","20:49 ↑ (304°)","15:34:42","odesa"
2016,7,"11","5:15 ↑ (56°)","20:48 ↑ (304°)","15:33:13","odesa"
2016,7,"12","5:16 ↑ (56°)","20:48 ↑ (304°)","15:31:39","odesa"
2016,7,"13","5:17 ↑ (56°)","20:47 ↑ (303°)","15:30:03","odesa"
2016,7,"14","5:18 ↑ (57°)","20:46 ↑ (303°)","15:28:22","odesa"
2016,7,"15","5:19 ↑ (57°)","20:46 ↑ (303°)","15:26:39","odesa"
2016,7,"16","5:20 ↑ (57°)","20:45 ↑ (303°)","15:24:51","odesa"
2016,7,"17","5:21 ↑ (57°)","20:44 ↑ (302°)","15:23:00","odesa"
2016,7,"18","5:22 ↑ (58°)","20:43 ↑ (302°)","15:21:06","odesa"
2016,7,"19","5:23 ↑ (58°)","20:42 ↑ (302°)","15:19:08","odesa"
2016,7,"20","5:24 ↑ (58°)","20:41 ↑ (302°)","15:17:08","odesa"
2016,7,"21","5:25 ↑ (59°)","20:40 ↑ (301°)","15:15:04","odesa"
2016,7,"22","5:26 ↑ (59°)","20:39 ↑ (301°)","15:12:57","odesa"
2016,7,"23","5:27 ↑ (59°)","20:38 ↑ (301°)","15:10:48","odesa"
2016,7,"24","5:28 ↑ (60°)","20:37 ↑ (300°)","15:08:35","odesa"
2016,7,"25","5:30 ↑ (60°)","20:36 ↑ (300°)","15:06:19","odesa"
2016,7,"26","5:31 ↑ (60°)","20:35 ↑ (300°)","15:04:01","odesa"
2016,7,"27","5:32 ↑ (61°)","20:34 ↑ (299°)","15:01:40","odesa"
2016,7,"28","5:33 ↑ (61°)","20:32 ↑ (299°)","14:59:17","odesa"
2016,7,"29","5:34 ↑ (61°)","20:31 ↑ (298°)","14:56:51","odesa"
2016,7,"30","5:35 ↑ (62°)","20:30 ↑ (298°)","14:54:23","odesa"
2016,7,"31","5:37 ↑ (62°)","20:28 ↑ (298°)","14:51:53","odesa"
2016,8,"1","5:38 ↑ (62°)","20:27 ↑ (297°)","14:49:21","odesa"
2016,8,"2","5:39 ↑ (63°)","20:26 ↑ (297°)","14:46:46","odesa"
2016,8,"3","5:40 ↑ (63°)","20:24 ↑ (296°)","14:44:08","odesa"
2016,8,"4","5:41 ↑ (64°)","20:23 ↑ (296°)","14:41:30","odesa"
2016,8,"5","5:43 ↑ (64°)","20:22 ↑ (296°)","14:38:49","odesa"
2016,8,"6","5:44 ↑ (65°)","20:20 ↑ (295°)","14:36:06","odesa"
2016,8,"7","5:45 ↑ (65°)","20:19 ↑ (295°)","14:33:22","odesa"
2016,8,"8","5:46 ↑ (65°)","20:17 ↑ (294°)","14:30:36","odesa"
2016,8,"9","5:48 ↑ (66°)","20:15 ↑ (294°)","14:27:48","odesa"
2016,8,"10","5:49 ↑ (66°)","20:14 ↑ (293°)","14:25:00","odesa"
2016,8,"11","5:50 ↑ (67°)","20:12 ↑ (293°)","14:22:09","odesa"
2016,8,"12","5:51 ↑ (67°)","20:11 ↑ (293°)","14:19:17","odesa"
2016,8,"13","5:53 ↑ (68°)","20:09 ↑ (292°)","14:16:23","odesa"
2016,8,"14","5:54 ↑ (68°)","20:07 ↑ (292°)","14:13:29","odesa"
2016,8,"15","5:55 ↑ (69°)","20:06 ↑ (291°)","14:10:33","odesa"
